,record,m,n,d,u_bits,c_bits,cr,pss,snr,prd,rtime
0,100,79,256,4,7149824,1384312,5.164893463323297,80.63851641662788,19.35430907647543,10.771707358941487,133.4426673783455
1,100,84,256,4,7149824,1528408,4.677955100993976,78.62313813598769,20.777004045957003,9.144285935802506,135.6763028090354
2,100,89,256,4,7149824,1627288,4.393705355167616,77.24016703068496,21.62895847347971,8.289953152843358,136.80550836096518
3,101,79,256,4,7149824,1477944,4.837682618556589,79.32894571950303,19.458462831140007,10.643313595837304,132.3695297082886
4,101,84,256,4,7149824,1582040,4.519369927435463,77.87302176948691,20.786093377501068,9.134721921379562,136.17987993522547
5,101,89,256,4,7149824,1677816,4.261387422697125,76.53346432024061,21.38006664507423,8.530935683780891,137.21352627594024
6,102,81,256,4,7149824,1447704,4.938733332228135,79.75189319345483,17.719614927592445,13.002272198579684,136.32116210693493
7,102,86,256,4,7149824,1533112,4.6636018764447735,78.5573463067063,18.882788489498516,11.372621243120424,137.22111609135754
8,102,91,256,4,7149824,1594904,4.482918094129803,77.69310125675821,19.841917645979464,10.183665311706516,138.5799325478729
9,102,96,256,4,7149824,1682488,4.249554231590359,76.46812005442372,20.5030896428045,9.437251257399721,139.13010352663696
10,102,101,256,4,7149824,1743608,4.100591417336925,75.61327383723012,21.448594459872474,8.463895194519655,142.2606976449024
11,107,71,256,4,7149824,1444024,4.951319368653152,79.80336299187225,17.422740484230758,13.45435788761784,132.52003349526785
12,107,76,256,4,7149824,1532088,4.6667188829884445,78.57166833757027,18.087657080554543,12.46284362896874,133.43204216728918
13,107,81,256,4,7149824,1627576,4.392927887852856,77.23613895950446,19.349292881315485,10.777929933011759,135.63205088395625
14,107,86,256,4,7149824,1719640,4.157744644227861,75.94849887214006,20.449823973421527,9.495302420055253,136.5435663368553
15,107,91,256,4,7149824,1829752,3.9075371962976404,74.40843299079809,21.460865603584118,8.45194611999201,137.86211974546313
16,109,68,256,4,7149824,1322264,5.407259064755601,81.50634197429196,18.92606704783132,11.316096637713493,131.81667128484696
17,109,73,256,4,7149824,1425624,5.015224210591292,80.06071198395932,20.075483048683495,9.913473444385707,133.01191645325162
18,109,78,256,4,7149824,1513880,4.722847253415066,78.82633194887035,21.205934104184255,8.703687604328374,134.31000241311267
19,111,84,256,4,7149824,1633816,4.3761500683063455,77.1488640839271,19.376481004813986,10.744246158053816,136.22470019734465
20,111,89,256,4,7149824,1725528,4.143557218428215,75.86614719467221,20.30715989006803,9.652548789997047,137.32373004034162
21,111,94,256,4,7149824,1821208,3.9258689836635905,74.5279324358194,21.271863201974373,8.637873506018279,138.93462003557943
22,115,86,256,4,7149824,1575416,4.538372087118577,77.96566740663826,21.378908853285843,8.532072896663715,136.48458478949033
23,117,71,256,4,7149824,1161176,6.1573990506176495,83.75937645458126,23.78805287563068,6.465429139124184,131.8455581997987
24,118,66,256,4,7149824,1129144,6.332074562677568,84.20738748254503,18.630954001103913,11.707180112767732,131.727764835814
25,118,71,256,4,7149824,1192600,5.9951568002683215,83.31986913244297,20.121828094481625,9.860719280365316,131.90786640625447
26,118,76,256,4,7149824,1293944,5.525605435783929,81.90243564037381,20.607268427652418,9.32473672181821,132.53708212729543
27,118,81,256,4,7149824,1358840,5.261711459774514,80.9947769343693,21.401754843595562,8.509660968898135,135.4756256120745
28,119,79,256,4,7149824,1337880,5.344144467366281,81.28793100361631,21.60150238192468,8.316199149358521,133.04521228279918
