,record,m,n,d,b,f,w,s,u_bits,c_bits,overhead_bits,bpm,bps,overhead,cr,pss,snr,prd,nmse,rtime,qc_snr,qc_prd,qc_nmse,min_qc_snr,max_qc_snr,min_q,max_q,min_rng,max_rng
0,100,256,512,4,32,80,1269,649728,7147008,2192792,5240,6.749876871552403,3.3749384357762016,0.002389647536109216,3.2593187133116137,69.31874149294362,25.89309224236613,5.073940707466918,0.002574487430288847,479.68132079999964,36.09028097298187,1.568505158525414,0.00024602084323208334,33.40474473483848,42.119796543810395,3,3,3,5
1,101,256,512,4,32,80,1269,649728,7147008,2272536,5240,6.995345744680851,3.4976728723404253,0.0023057940556277215,3.144948198840414,68.20297388781431,25.9478572591526,5.042049871774141,0.002542226690945749,534.4452627999992,36.97297299275599,1.4169396405430401,0.00020077179449422397,33.460887139944305,45.54152630074858,2,4,3,6
2,102,256,512,4,32,80,1269,649728,7147008,2244760,5240,6.909845350669819,3.4549226753349096,0.0023343252730804185,3.1838628628450256,68.59161204240992,24.39319281459704,6.030320008398158,0.003636475940368715,501.743030899994,35.91207534747486,1.6010180662578823,0.0002563258848484129,33.16475939155669,44.56704837431309,2,3,3,4
3,103,256,512,4,32,80,1269,649728,7147008,2378456,5240,7.32138987391647,3.660694936958235,0.0022031099166854463,3.004893931188973,66.7209551185615,26.083384376178945,4.963988665585448,0.002464118347205979,482.26534089999586,38.21774709110391,1.2277576403872261,0.00015073888235292096,33.26799080720325,45.453246869886186,2,4,3,6
4,104,256,512,4,32,80,1269,649728,7147008,2359640,5240,7.26347025216706,3.63173512608353,0.002220677730501263,3.0288552491057956,66.98422612651336,20.37752378315178,9.574669918676742,0.009167430405161804,510.98223749999624,36.883548811676924,1.4316028668592928,0.00020494867683997463,33.22031157914012,45.54331908953932,2,3,3,6
5,105,256,512,4,32,80,1269,649728,7147008,2408408,5240,7.413588455476753,3.7067942277383765,0.0021757110921405342,2.967523775041438,66.30187065692385,24.790675414808298,5.760580225443836,0.003318428453377471,533.3626532000089,36.50892331679973,1.4946993104235573,0.00022341260285806578,33.15871967335458,46.29717579680511,2,4,3,8
6,106,256,512,4,32,80,1269,649728,7147008,2523000,5240,7.7663268321513,3.88316341607565,0.0020768925881886643,2.832741973840666,64.69851439931227,24.421683280375092,6.0105724441830946,0.0036126981106773155,544.683538799989,37.817252096795656,1.2856933427604118,0.0001653007371618442,33.11416562958795,46.75957700195337,2,3,3,5
7,107,256,512,4,32,80,1269,649728,7147008,2682776,5240,8.25815110323089,4.129075551615445,0.0019532007144838033,2.6640345671796677,62.46294953076868,26.78686733832723,4.577798084418211,0.0020956235301703963,549.0917724000033,38.54193680354736,1.1827777872761116,0.00013989632940737746,33.61079697500113,46.27733677870687,3,4,3,6
8,108,256,512,4,32,80,1269,649728,7147008,2428248,5240,7.474660165484633,3.7373300827423166,0.002157934444916664,2.943277622384534,66.02427197506985,24.383973955747944,6.036723748677791,0.0036442033617851565,533.9249950999993,37.58474443461984,1.3205741089035643,0.0001743915977106443,33.416216281025015,45.371680854936784,2,4,3,7
9,109,256,512,4,32,80,1269,649728,7147008,2405176,5240,7.403639676910953,3.7018198384554766,0.002178634744401241,2.971511440327028,66.34709237767748,27.26727171315434,4.331481006300065,0.0018761727707938675,548.6473554999884,37.50529244663503,1.3327091444648298,0.00017761136637401787,33.123234379053415,46.69943584241387,2,3,3,5
10,111,256,512,4,32,80,1269,649728,7147008,2512056,5240,7.732638888888889,3.8663194444444446,0.0020859407592824365,2.8450830713964974,64.85164141414141,24.55192652311181,5.921117424176501,0.003505963155088716,550.7319835999833,38.327805184781134,1.212298982801737,0.00014696688237021265,33.31465296696082,46.514779153637406,2,4,3,6
11,112,256,512,4,32,80,1269,649728,7147008,2265112,5240,6.972493104806935,3.4862465524034674,0.002313351392778812,3.1552558990460517,68.30684952360484,28.670213725000835,3.6854397334788467,0.001358246602910403,538.1634443999892,35.938805607116265,1.5960986109688473,0.0002547530775936684,33.73886427179865,43.835107274458124,4,4,3,5
12,113,256,512,4,32,80,1269,649728,7147008,2581720,5240,7.94707939322301,3.973539696611505,0.002029654648838759,2.768312597803015,63.87691184898632,25.96795155695542,5.0303988663669985,0.002530491275474629,533.0274536000188,38.00684366297737,1.2579338878032709,0.00015823976660838524,33.44323935576674,46.69265218030959,2,3,3,5
13,114,256,512,4,32,80,1269,649728,7147008,2417272,5240,7.440873719464145,3.7204368597320725,0.00216773288235664,2.956642032837016,66.17784672970843,22.535995213566366,7.467930014574282,0.005576997870257823,522.0695834000162,37.623247307393,1.3147332140354806,0.00017285234240880645,33.11700829330983,46.85201000138353,1,4,3,7
14,115,256,512,4,32,80,1269,649728,7147008,2333272,5240,7.182303979511427,3.5911519897557134,0.0022457733174700593,3.0630839439208115,67.35316372949352,27.4896348002907,4.222000301501374,0.0017825286545877484,478.1843753999883,36.29885328459324,1.5312896099426316,0.00023448478695182564,33.42287293782399,45.4925695131386,2,4,3,5
15,116,256,512,4,32,80,1269,649728,7147008,2392504,5240,7.364632584712372,3.682316292356186,0.002190173976720624,2.9872501780561285,66.52439734221649,27.59257858817819,4.172257178889783,0.001740772996679773,440.05238810004175,36.2326943071848,1.542997721099263,0.00023808419673175188,33.786956230594235,43.915518761589986,4,6,3,7
16,117,256,512,4,32,80,1269,649728,7147008,2266904,5240,6.9780092592592595,3.4890046296296298,0.002311522675860998,3.1527616520152595,68.2817760942761,28.815521424878593,3.624298245070149,0.0013135537769218394,439.94829649999883,35.55041590652886,1.669087884347958,0.00027858543656771425,33.736362356914,43.740282871471,4,5,3,5
17,118,256,512,4,32,80,1269,649728,7147008,2330840,5240,7.174817769897557,3.5874088849487786,0.0022481165588371576,3.066279967736953,67.3871919550111,27.097729392400385,4.416858948569749,0.0019508642971561338,484.54365149997284,38.33106672644314,1.211843851371057,0.00014685655201058362,33.75667326303196,44.5995785517292,4,4,3,5
