,record,mr,m,n,d,q,b,w,s,u_bits,c_bits,bpm,bps,cr,pss,overhead,snr,prd,nmse,qs,rtime
0,100,0.2,102,512,4,0,32,1269,649728,7147008,1356536,10.48019901419985,2.087852147360126,5.268572304752694,81.01952593308977,0.0038627799041087004,13.628973236123068,20.823385450768797,0.04336133816313044,25.301228357938207,243.6360113
1,100,0.2,102,512,4,1,32,1269,649728,7147008,1227832,9.485869682782491,1.8897631008668243,5.820835423738752,82.82033544666524,0.0042676848298464284,13.62131558129425,20.841751860690845,0.04343786206226106,27.92872433491207,213.34337509999875
2,100,0.2,102,512,4,2,32,1269,649728,7147008,1099160,8.49178757397364,1.6917233057525611,6.502245350995305,84.62069722043127,0.0047672768295789515,13.612702132622099,20.862430041957438,0.04352409872555566,31.167248196486824,242.128312799997
3,100,0.2,102,512,4,3,32,1269,649728,7147008,970680,7.499188800815834,1.4939790189125295,7.362887872419335,86.41837255534064,0.005398277496188239,13.602434198486746,20.88710692963082,0.04362712358898332,35.25087460520543,246.84799500000315
4,100,0.2,102,512,4,4,32,1269,649728,7147008,841624,6.502140020704894,1.295348207249803,8.491925135214775,88.22410720681998,0.006226058192256875,13.556441420341171,20.997999883862395,0.04409159991226939,40.44159054282632,248.05265329999634
5,100,0.2,102,512,4,5,32,1269,649728,7147008,712440,5.504102350159922,1.096520390070922,10.031733198585144,90.03163281753707,0.007355005333782494,13.433501920355619,21.29731743067593,0.045357572974298224,47.103271251128454,254.08388980000268
6,100,0.2,102,512,4,6,32,1269,649728,7147008,584824,4.51817858743182,0.9001058904649331,12.22078437273436,91.81721917759151,0.008959960603532003,13.1615015319709,21.9747996102322,0.04828918179098594,55.61272270735045,245.65155809999737
7,100,0.2,102,512,4,7,32,1269,649728,7147008,459448,3.5495604072992477,0.7071389873916469,15.555640681861712,93.57146375098503,0.011404990336229562,12.390751180845063,24.013885798787754,0.05766667111571981,64.77769075859841,265.49130859999605
8,100,0.25,128,512,4,0,32,1269,649728,7147008,1682264,10.356727738376675,2.5891819345941687,4.248446141628187,76.46198241278029,0.0031148499878734847,17.29134548831066,13.659434677377652,0.018658015570554343,31.102649867818737,214.00330909999866
9,100,0.25,128,512,4,1,32,1269,649728,7147008,1520888,9.363228920409771,2.3408072301024427,4.699233605630395,78.71993427179598,0.003445355608039514,17.292888654906875,13.657008108328315,0.018651387047094146,34.40895376465882,230.70859760000394
10,100,0.25,128,512,4,2,32,1269,649728,7147008,1359384,8.36894208037825,2.0922355200945626,5.257534294945358,80.97967709004944,0.003854687122991002,17.295332821645456,13.653165633888356,0.018640893182638927,38.50780424062018,223.15533529998856
11,100,0.25,128,512,4,3,32,1269,649728,7147008,1197976,7.375246256895193,1.8438115642237982,5.965902488864551,83.23807668887456,0.00437404422125318,17.28604315420198,13.667775676463084,0.018680809194211896,43.64940301982183,221.0157744000012
12,100,0.25,128,512,4,4,32,1269,649728,7147008,1036856,6.383323483057525,1.5958308707643813,6.892961028339519,85.49244662941472,0.005053739381360575,17.263052547256038,13.704000715650858,0.01877996356145518,50.29889571201868,218.29137199999104
13,100,0.25,128,512,4,5,32,1269,649728,7147008,876216,5.394355791962175,1.3485889479905437,8.156673696896656,87.74010047281324,0.005980260575018032,17.145178123914665,13.891242529672487,0.0192966619018178,58.71810012296261,224.5878041000069
14,100,0.25,128,512,4,6,32,1269,649728,7147008,716984,4.41405634357762,1.103514085894405,9.968155495799069,89.96805376459632,0.0073083918190643025,16.642081410000745,14.719597327164777,0.021666654547387948,67.72030018377609,224.975714399995
15,100,0.25,128,512,4,7,32,1269,649728,7147008,563288,3.467838849487786,0.8669597123719465,12.688017497266053,92.11854806934595,0.009302523753390805,15.098260820919727,17.582756389335128,0.03091533222467122,72.16170898529884,237.20727599999964
16,100,0.3,154,512,4,0,32,1269,649728,7147008,2012280,10.296889871357957,3.097111406619385,3.5516965829804996,71.84444175800559,0.0026040113701870514,20.273748723294506,9.689749813410186,0.009389125144648095,36.654161886255395,261.2796054000073
17,100,0.3,154,512,4,1,32,1269,649728,7147008,1817400,9.299683767768874,2.7971705082742315,3.9325453945196434,74.57117719750698,0.002883239793111038,20.250562662375916,9.715650126258138,0.00943938573758617,40.47639986429003,274.7625795999752
18,100,0.3,154,512,4,2,32,1269,649728,7147008,1622520,8.302477664179792,2.497229609929078,4.404881295762148,77.29791263700838,0.0032295441658654438,20.214112076992432,9.75650780135409,0.009518944447788355,45.14813481880065,292.03734329998224
19,100,0.3,154,512,4,3,32,1269,649728,7147008,1427864,7.306417774502881,2.1976334712371948,5.005384266288666,80.02151389784369,0.003669817293523753,20.188519451877426,9.785297352706507,0.009575204428088575,51.152091611239904,271.3347038000129
20,100,0.3,154,512,4,4,32,1269,649728,7147008,1233016,6.309375415758394,1.8977418242710795,5.796362739818462,82.74780159753564,0.004249742095804109,20.042333988101014,9.951379775863456,0.009902995944346467,58.24682476571975,261.7724117999969
21,100,0.3,154,512,4,5,32,1269,649728,7147008,1039064,5.316917912662594,1.5992292159180457,6.8783135591262905,85.46155258256321,0.0050430002386763475,19.679727046317428,10.37561020613082,0.010765328714956666,66.29309912839612,276.0177887
22,100,0.3,154,512,4,6,32,1269,649728,7147008,846936,4.333793865708759,1.3035239361702127,8.438663606222903,88.14978239845261,0.0061870082273040704,18.629171496279294,11.709582888684759,0.013711433142698185,72.06630403869791,271.7147305000153
23,100,0.3,154,512,4,7,32,1269,649728,7147008,667096,3.413547839079754,1.0267311859732073,10.713612433592766,90.6660801275163,0.007854941417726984,16.171727448569538,15.538662273318831,0.024145002524426785,68.94810019771731,285.0077019000064
24,100,0.35,179,512,4,0,32,1269,649728,7147008,2289592,10.079603435600108,3.5239238573680063,3.1215203407419314,67.96432856938176,0.002288617360647661,22.01529961541448,7.929303100423338,0.006287384765838347,39.366893927604764,320.54339700000946
25,100,0.35,179,512,4,1,32,1269,649728,7147008,2063288,9.083332232743858,3.1756181048069347,3.463892583100372,71.13074450175515,0.002539635765826196,22.019978160579768,7.925033231135892,0.006280615171460579,43.70824048398209,333.032755200009
26,100,0.35,179,512,4,2,32,1269,649728,7147008,1837112,8.087624531699179,2.8275093577620174,3.8903496357326066,74.29536947489075,0.002852302962475886,21.985436479955368,7.956611918780769,0.006330767322608434,48.89455053789709,310.61886580001556
27,100,0.35,179,512,4,3,32,1269,649728,7147008,1611064,7.092480332466069,2.4795976162332547,4.436203651748161,77.4582034887886,0.0032525089009499313,21.938488431663664,7.999734588640408,0.006399575348869266,55.45438542483089,293.9731184000111
28,100,0.35,179,512,4,4,32,1269,649728,7147008,1385752,6.100576268649489,2.13281865642238,5.157494270259036,80.61073948706927,0.0037813403841379985,21.842403261659015,8.088720648614203,0.006542740173131851,63.76155753558682,291.8083182000082
