,record,m,n,d,b,f,w,s,u_bits,c_bits,overhead_bits,bpm,bps,overhead,cr,pss,snr,prd,nmse,rtime,qc_snr,qc_prd,qc_nmse,min_qc_snr,max_qc_snr,min_q,max_q,min_rng,max_rng
0,100,77,512,12,32,40,1269,649728,7147008,565880,2680,5.7912457912457915,0.8709490740740741,0.004735986428217997,12.629900332225914,92.08228114478115,5.340591772626676,54.07174824239209,0.29237539579886324,70.81929447967559,36.3165353183096,1.5281755048316243,0.00023353203735673904,33.22885673572704,42.89081195366487,6,6,2,3
1,100,102,512,12,32,40,1269,649728,7147008,755928,2680,5.84007787512168,1.163453014184397,0.0035453111936586553,9.454614725211925,89.42315441650548,7.815983897335678,40.663130018851206,0.16534901429299984,75.6307241555769,36.47915206360762,1.4998312453088745,0.0002249493764404769,33.34961611133962,44.49791194432068,5,6,2,3
2,100,128,512,12,32,40,1269,649728,7147008,1032216,2680,6.35475768321513,1.5886894208037825,0.002596355801498911,6.923946150805645,85.55736890178379,13.608742823690791,20.871941978898207,0.043563796197049316,79.99186978978105,39.50397485753942,1.0587690978569626,0.00011209920025768466,33.90926077668533,44.371179315754546,5,5,2,3
3,100,154,512,12,32,40,1269,649728,7147008,1203160,2680,6.156601475750412,1.8517902876280536,0.002227467668473021,5.940197479969414,83.16554283974497,17.77494963698356,12.919702643054967,0.01669187163849615,93.17691866005771,39.41386375649813,1.069810391790837,0.0001144494274383664,34.44108989211872,42.083318177151675,5,5,2,3
4,100,179,512,12,32,40,1269,649728,7147008,1362872,2680,5.999850319831301,2.0976039204097714,0.001966435586027154,5.244078680903269,80.93087345082026,20.497644582425263,9.443169190406056,0.008917344435863417,99.31040062266402,38.75764255911625,1.15376635953243,0.00013311768123887164,34.81173463778992,41.307036200483736,5,5,3,3
5,100,205,512,12,32,40,1269,649728,7147008,1590584,2680,6.114220915258798,2.4480767336485423,0.0016849157290655507,4.493323207073629,77.74475696683143,22.722595264381916,7.309206584456636,0.005342450089426425,114.1354568907991,39.687106088532836,1.0366799415675207,0.0001074705301248438,35.67428841149547,44.97390003997036,4,5,3,3
6,100,230,512,12,32,40,1269,649728,7147008,1965208,2680,6.733162024188851,3.0246626280535853,0.0013637233310672457,3.636769237658304,72.50306701769468,24.17510481778686,6.18364799171072,0.0038237502485388023,120.45256624766625,39.526742101935895,1.0559975118315854,0.00011151307449944996,35.581656322293675,43.78010537402611,4,5,3,4
7,100,256,512,12,32,40,1269,649728,7147008,2178328,2680,6.705353624901497,3.3526768124507487,0.0012303014054816355,3.280960443055408,69.52111988681138,25.602743093177697,5.246417468308646,0.002752489625177411,125.90920573286712,40.589171767212335,0.9344184643827641,8.731378665794429e-05,36.111845457743776,43.51319303454191,4,4,3,3
8,100,282,512,12,32,40,1269,649728,7147008,2371608,2680,6.627232030581963,3.6501551418439715,0.0011300349804858139,3.013570539482073,66.81677143778208,24.62571631585345,5.871028440641977,0.0034468974950826966,154.1392669605557,35.57021177778239,1.6652882245352285,0.0002773184870775694,33.60076012336994,37.98833574130762,4,4,3,4
9,100,307,512,12,32,40,1269,649728,7147008,2524376,2680,6.479687255347384,3.8852812253743103,0.0010616485024417916,2.831197888111755,64.67926158750628,26.32749104936619,4.8264237292153185,0.0023294366013932705,159.88947038259357,37.47080695827079,1.3380109021399447,0.0001790273174245349,34.80152325925726,39.34130815323072,4,4,3,4
