,record,m,n,d,q,b,w,s,q_mean,q_std,u_bits,c_bits,bpm,bps,cr,pss,snr,prd,nmse,rtime,y_min,y_max,y_range,y_iqr,y_mean,y_std,y_median,y_mad,y_skew,y_kurtosis,y_jbera,y_jb_pval
0,100,128,512,4,8,32,1269,649728,-4,1,7147008,395296,2.4336091410559497,0.6084022852639874,18.080142475512023,94.46907013396375,34.07937844990449,1.977111114351802,0.0003908968358493478,193.64439470000002,-3089.0,489.0,3578.0,409.0,-980.030634357762,308.5474665067829,-972.0,244.50057242117526,-0.1262849994921653,3.1926030909346252,682.8069724059261,5.37464568703467e-149
1,101,128,512,4,8,32,1269,649728,-4,2,7147008,457280,2.8152088258471237,0.7038022064617809,15.629391182645206,93.60179812307472,33.07069720998503,2.220573432497485,0.0004930946369113651,195.37459820000052,-9477.0,4839.0,14316.0,509.0,-909.5806491331757,461.91324719293965,-900.0,324.14480350497297,0.08262339195564843,20.88508545015745,2165107.4839834934,0.0
2,102,128,512,4,8,32,1269,649728,-4,1,7147008,385696,2.374507486209614,0.5936268715524035,18.53015846677176,94.60339207679633,34.124775476947924,1.9668046488972004,0.00038683205269235237,196.7773812000005,-2321.0,568.0,2889.0,378.0,-786.7349783293932,284.83577741280885,-775.0,226.1085902478057,-0.23719211682456878,3.149826355961022,1675.0010720945672,0.0
3,103,128,512,4,8,32,1269,649728,-3,2,7147008,459008,2.825847123719464,0.706461780929866,15.570552147239264,93.57762017336485,32.38786760597445,2.402185934393306,0.0005770497263396941,193.7617229000016,-7938.0,3177.0,11115.0,477.0,-740.5256599684791,460.30187776510013,-739.0,313.9350105039774,-0.8355878001713406,20.82342877196254,2168923.6412050943,0.0
4,104,128,512,4,8,32,1269,649728,-3,1,7147008,424992,2.6164302600472813,0.6541075650118203,16.81680596340637,94.05356759080163,32.72643368738427,2.310352864855819,0.0005337730360147483,196.7129217999991,-3837.0,1770.0,5607.0,444.0,-720.1587864460205,360.4097442912212,-701.0,275.84857010515816,-0.3064721914953619,4.852778154131653,25775.84478789599,0.0
5,105,128,512,4,8,32,1269,649728,-3,2,7147008,477792,2.9414893617021276,0.7353723404255319,14.958408679927667,93.31479690522244,30.233139384736443,3.078527452749893,0.0009477331277334655,189.84375070000328,-9079.0,7901.0,16980.0,505.0,-720.4613376674547,571.7032326526936,-715.0,358.5820276654203,-0.03756956541088571,27.977494661820202,4222425.832862566,0.0
6,106,128,512,4,8,32,1269,649728,-3,2,7147008,460320,2.8339243498817965,0.7084810874704491,15.526173096976017,93.55926284117774,33.40569389705817,2.13656104166348,0.00045648930847541505,187.74227049999922,-3053.0,2311.0,5364.0,524.0,-569.4334613869188,417.853227864179,-561.0,323.8700525542136,-0.029835740895347657,3.8099387525037054,4463.912019121736,0.0
7,107,128,512,4,8,32,1269,649728,-3,4,7147008,654656,4.030338849487785,1.0075847123719464,10.91719620686284,90.84013897843685,29.42116909708868,3.380193366618964,0.0011425707195734773,188.85379060000173,-8413.0,4517.0,12930.0,1247.0,-744.4125295508275,1033.8892641818436,-700.0,788.0956207229656,-0.33188832583802075,4.318002641104614,14738.87938286055,0.0
8,108,128,512,4,8,32,1269,649728,-3,3,7147008,555808,3.4217888100866825,0.8554472025216706,12.858771374287524,92.223207249803,31.299915662111516,2.7227277449777194,0.0007413246373271425,196.4523709000016,-9550.0,9086.0,18636.0,562.0,-731.7294868006304,773.5105928512208,-708.0,460.76808889311144,0.23443557693845488,20.123319507739588,1985920.102480958,0.0
9,109,128,512,4,8,32,1269,649728,-3,2,7147008,482400,2.969858156028369,0.7424645390070922,14.815522388059701,93.2503223726628,32.37201958833436,2.4065728928255568,0.0005791593088482728,197.19962109999847,-5408.0,6537.0,11945.0,574.0,-736.9381895193065,499.50350576627363,-737.0,365.73077619755344,0.5472052814798692,11.148092423711796,457443.3308265172,0.0
10,111,128,512,4,8,32,1269,649728,-3,2,7147008,491744,3.027383766745469,0.7568459416863672,14.534001431639227,93.11958234830576,32.852124964890315,2.2771610762136416,0.0005185462567022245,200.08660890000579,-10433.0,5385.0,15818.0,552.0,-524.2568459416864,555.6236060123678,-509.0,378.12085864768596,-0.6408307859865826,21.684884872418987,2373994.9752176674,0.0
11,112,128,512,4,8,32,1269,649728,-11,3,7147008,577440,3.5549645390070923,0.8887411347517731,12.377057356608478,91.92053513862024,32.522728735737,2.365176543254063,0.000559406008075922,198.52903649999507,-9917.0,397.0,10314.0,937.0,-2631.627511820331,732.4773627501307,-2616.0,570.7279359571387,-0.1989337237509701,4.4387031788444,15080.22303870794,0.0
12,113,128,512,4,8,32,1269,649728,-2,2,7147008,514144,3.1652876280535853,0.7913219070133963,13.900790440032365,92.8061644816964,32.393447729460796,2.4006431805856714,0.000576308768049242,200.59558349999725,-4038.0,3670.0,7708.0,642.0,-496.61615937746257,562.5035631758506,-492.0,419.59391838142113,0.03644311329397512,4.987309010666609,26765.473935951,0.0
13,114,128,512,4,8,32,1269,649728,-2,2,7147008,442016,2.72123719464145,0.6803092986603625,16.169116050097735,93.81537001217852,34.715002220485204,1.8375953743772668,0.00033767567599327184,200.87472580000667,-3980.0,6904.0,10884.0,416.0,-497.48093971631204,386.80892257489705,-482.0,267.67600292486077,1.8494158356381314,33.827903878208275,6524629.577719891,0.0
14,115,128,512,4,8,32,1269,649728,-7,3,7147008,575904,3.5455082742316786,0.8863770685579196,12.41006834472412,91.94202664947346,31.719053080015865,2.5944621902789855,0.0006731234056787191,199.55287219999627,-8890.0,2482.0,11372.0,880.0,-1561.588775610717,742.6206451708414,-1541.0,556.1227308581675,-0.5006138231809788,7.08424047572908,119681.7727652483,0.0
15,116,128,512,4,8,32,1269,649728,-12,6,7147008,701280,4.317375886524823,1.0793439716312057,10.191375770020533,90.18778207607996,24.60962483746533,5.881915188701074,0.003459692628707304,198.3687116999954,-23848.0,20010.0,43858.0,1268.0,-2996.1768617021276,1408.9861708403746,-2976.0,881.5576726117052,0.3472818854294875,32.71335692505719,5978621.078441107,0.0
16,117,128,512,4,8,32,1269,649728,-11,3,7147008,585280,3.603230890464933,0.9008077226162332,12.211262985237834,91.81083888530696,32.46699827739137,2.3804007922217565,0.0005666307931610038,198.4041258000084,-10907.0,476.0,11383.0,996.0,-2726.04304570528,764.0891055897474,-2699.0,598.6967646623806,-0.3391380331454591,4.657513026861225,21707.736371558476,0.0
17,118,128,512,4,8,32,1269,649728,-11,3,7147008,610944,3.7612293144208038,0.9403073286052009,11.698302954116908,91.45175155813453,29.887980901147035,3.2033246444328785,0.0010261288777631105,199.20347739999443,-8331.0,5692.0,14023.0,1102.0,-2746.1120468873128,861.8922818643955,-2712.0,669.201947210042,0.039772974647779166,5.405292406635073,39198.625720543685,0.0
18,119,128,512,4,8,32,1269,649728,-11,3,7147008,617280,3.800236406619385,0.9500591016548463,11.578227060653187,91.36309907586504,30.47730440520391,2.9931934055710414,0.0008959206763154219,198.5355096000094,-8546.0,928.0,9474.0,1137.0,-2756.112145390071,864.0199927992069,-2725.0,683.0280899596398,-0.2099577455873341,3.319490975447602,1884.2349091224069,0.0
19,121,128,512,4,8,32,1269,649728,-11,4,7147008,632192,3.89204097714736,0.97301024428684,11.305122494432071,91.15445232466509,31.167983809030794,2.7643995242061212,0.0007641904729431006,200.00226900000553,-19643.0,2402.0,22045.0,1059.0,-2591.0157111899134,986.6133323141815,-2553.0,697.7038907571214,-1.3073839560852878,17.86545136498399,1541876.6605540894,0.0
20,122,128,512,4,8,32,1269,649728,-11,3,7147008,577344,3.554373522458629,0.8885933806146572,12.379115397406052,91.92187835804857,31.647490223690735,2.615926207358592,0.0006843069922345509,199.2299901000024,-8944.0,32.0,8976.0,971.0,-2699.457594562648,726.4980240411791,-2681.0,576.7778457476646,-0.15946549700917736,3.4037805386385513,1791.8665933611458,0.0
