,record,m,n,d,q,b,w,s,q_mean,q_std,u_bits,c_bits,bpm,bps,cr,pss,snr,prd,nmse,rtime,y_min,y_max,y_range,y_iqr,y_mean,y_std,y_median,y_mad,y_skew,y_kurtosis,y_jbera,y_jb_pval,y_kld
0,100,200,512,4,6,32,1269,649728,-10,4,7147008,1010016,3.979574468085106,1.5545212765957446,7.076133447390933,85.86798839458415,20.123434996950795,9.858895201403238,0.009719781459225162,395.77287940000025,-2021.0,432.0,2453.0,331.0,-627.2196059889677,244.01277891484617,-620.0,194.69475145190972,-0.20001527346162992,3.1508811578876554,1932.9996210818344,0.0,0.01310057962157915
1,101,200,512,4,6,32,1269,649728,-10,6,7147008,1108032,4.365768321513002,1.7053782505910164,6.450181944203777,84.49656135826349,15.141018320024564,17.49641551379369,0.03061245558313244,416.35885389999845,-8090.0,4225.0,12315.0,384.0,-582.1316154452325,333.03110966527197,-570.0,240.18704221760828,-0.15039319841240992,18.131543324437473,2422246.8519640407,0.0,0.12050710210825859
2,102,200,512,4,6,32,1269,649728,-8,4,7147008,978848,3.856769109535067,1.5065504334121356,7.301448233024944,86.30408696898058,18.52503508889363,11.85081573779294,0.014044183365112076,409.9957983999975,-1768.0,365.0,2133.0,297.0,-503.51038613081164,218.2670797563346,-491.0,174.39627126865818,-0.32195257212171374,3.1554162485461665,4639.972076882935,0.0,0.019137814481916725
3,103,200,512,4,6,32,1269,649728,-8,6,7147008,1105120,4.354294720252167,1.7008963750985027,6.467178224989142,84.5373056809227,15.66780371757527,16.46682287778308,0.02711562556882825,404.6966862000015,-6208.0,2614.0,8822.0,360.0,-473.93642237982664,332.16450884354447,-470.0,233.5980551985545,-0.7549240459041996,17.188356639847402,2152954.789603301,0.0,0.167609499133608
4,104,200,512,4,6,32,1269,649728,-8,5,7147008,1049856,4.136548463356974,1.615839243498818,6.80760790051207,85.31055233182893,16.301728885217965,15.307827362982332,0.023432957857487346,408.0896102000029,-3077.0,1398.0,4475.0,334.0,-460.9016233254531,266.1062226678025,-442.0,205.2178020217539,-0.4280975296311688,4.644270309517004,36343.04783004583,0.0,0.04643883189563897
5,105,200,512,4,6,32,1269,649728,-8,7,7147008,1159648,4.569141055949567,1.7848207249802994,6.163083970308231,83.77435704563364,13.367372878619985,21.46008096112245,0.04605350748579244,413.25967370000944,-6844.0,6901.0,13745.0,384.0,-461.095256107171,411.0119030441096,-452.0,266.3628095796764,-0.22724289925271043,23.97770217856393,4655861.024304992,0.0,0.258733279425207
6,106,200,512,4,6,32,1269,649728,-6,5,7147008,1094400,4.3120567375886525,1.6843971631205674,6.530526315789474,84.68729851708575,18.472188027164904,11.923138770785664,0.014216123814740963,413.03329419999955,-2557.0,1919.0,4476.0,383.0,-364.437415287628,312.67763980660817,-357.0,240.12348022337423,-0.03961444731376058,4.0848848019709445,12512.892557406918,0.0,0.02864292834923197
7,107,200,512,4,6,32,1269,649728,-8,12,7147008,1407648,5.54628841607565,2.166518912529551,5.077269317329332,80.30437352245863,20.728367466430964,9.19563292665683,0.008455966492181404,379.999394100003,-7323.0,3561.0,10884.0,901.0,-476.42401891252956,741.5873444302476,-435.0,567.312097802865,-0.3909508906403169,4.303454359755745,24432.09574189411,0.0,0.05109873351908188
8,108,200,512,4,6,32,1269,649728,-8,9,7147008,1243648,4.900110323089047,1.9141055949566588,5.746809386578839,82.59904004584855,11.667844213961663,26.098033802824517,0.06811073683733639,354.06329409999944,-7987.0,7892.0,15879.0,403.0,-468.3068715524035,518.3445701605625,-445.0,315.28402598689013,0.025224062163632002,21.295204150921798,3539632.6973354067,0.0,0.3666477246143779
9,109,200,512,4,6,32,1269,649728,-8,7,7147008,1172288,4.618944050433412,1.8042750197005517,6.096631544466889,83.59749982090408,18.99161844346236,11.231016824273327,0.01261357389071106,352.97323660001075,-3743.0,4791.0,8534.0,455.0,-471.6404412923562,384.10421953730344,-470.0,287.11621250561575,0.3318404943568109,8.174710577650997,287831.428832239,0.0,0.06005039975304384
