,record,m,n,d,f,w,s,u_bits,c_bits,overhead_bits,bpm,bps,overhead,cr,pss,snr,prd,nmse,rtime,qc_snr,qc_prd,qc_nmse,min_qc_snr,max_qc_snr,min_q,max_q,min_rng,max_rng
0,100,26,256,4,159,2539,649984,7149824,416056,10296,6.302541885054685,0.6401019102008665,0.024746668717672622,17.184763589516795,94.18089172544667,17.33197021484375,13.595697402954102,0.018484298139810562,8.098497498780487,38.317516,1.2137356,0.00014731543,33.71533203125,44.0595817565918,5,5,2,4
1,100,39,256,4,159,2539,649984,7149824,672760,10296,6.794114379778027,1.0350408625443088,0.015304120340091563,10.627599738391105,90.59053761323355,14.387666702270508,19.081680297851562,0.03641105443239212,2.990726059069856,40.36622,0.9587139,9.191324e-05,33.16377639770508,46.3676643371582,4,5,2,4
2,100,52,256,4,159,2539,649984,7149824,877080,10296,6.643136304420275,1.3493870618353683,0.01173895197701464,8.151849318192182,87.73284489240574,20.831745147705078,9.086837768554688,0.008257061243057251,2.8617689372040327,39.642387,1.0420307,0.00010858279,33.37111282348633,44.32610321044922,4,4,2,4
3,100,64,256,4,159,2539,649984,7149824,1039000,10296,6.394003544702639,1.5985008861756598,0.009909528392685274,6.881447545717036,85.46817376203946,23.269821166992188,6.862918853759766,0.0047099655494093895,2.8309430009685452,40.18922,0.97845083,9.5736614e-05,33.71438980102539,46.170719146728516,3,4,2,4
4,100,77,256,4,159,2539,649984,7149824,1358392,10296,6.948190053349565,2.089885289484049,0.007579549938456645,5.263446781194236,81.00104282287228,20.808198928833008,9.111501693725586,0.008301946334540844,2.8505215088371187,37.472496,1.3377502,0.00017895758,33.63450622558594,45.94888687133789,3,4,3,4
5,100,90,256,4,159,2539,649984,7149824,1640760,10296,7.180254693448864,2.5243082906656165,0.006275140788415125,4.35762939125771,77.05174281213075,25.152931213378906,5.525269508361816,0.003052860265597701,2.8824018219020218,39.975086,1.0028722,0.000100575286,33.96442413330078,45.82698059082031,3,4,3,5
6,100,103,256,4,159,2539,649984,7149824,1821240,10296,6.964136174703747,2.801976664040961,0.005653291164261711,3.925800004392612,74.5274848723549,26.332748413085938,4.823502063751221,0.0023266172502189875,2.9952958978246897,39.395264,1.0721035,0.0001149406,34.50814437866211,44.924076080322266,3,3,3,5
7,100,116,256,4,159,2539,649984,7149824,2006712,10296,6.813407396341215,3.087325226467113,0.005130781098632988,3.5629547239464356,71.93340703211716,27.74382781982422,4.10023307800293,0.0016811914974823594,2.876755750039593,36.527866,1.4914428,0.00022244017,33.38694381713867,43.058128356933594,3,3,3,6
8,100,128,256,4,159,2539,649984,7149824,2231416,10296,6.866064395431272,3.433032197715636,0.004614110502030998,3.2041645305043973,68.79061638440331,27.523834228515625,4.205409526824951,0.0017685467610135674,2.801865441026166,36.635155,1.4731339,0.00021701235,33.599334716796875,42.1641845703125,2,3,3,5
9,100,141,256,4,159,2539,649984,7149824,2413080,10296,6.740465755490937,3.712522154391493,0.004266746233029987,2.9629452815488917,66.24979859644098,29.050399780273438,3.527604341506958,0.0012443993473425508,2.84947024891153,36.624325,1.4749715,0.00021755412,33.298194885253906,40.711822509765625,2,3,3,5
10,100,154,256,4,159,2539,649984,7149824,2698264,10296,6.900825051277986,4.151277569909413,0.0038157867428835726,2.649786677656449,62.261113000823514,29.89738655090332,3.199856758117676,0.001023908262141049,2.779400920029729,36.395058,1.5144223,0.00022934747,33.53260040283203,46.65972900390625,2,3,3,5
11,100,167,256,4,159,2539,649984,7149824,2998648,10296,7.072066186649938,4.6134181764474205,0.003433547385355,2.3843492133788295,58.05983475956891,30.448928833007812,3.0029871463775635,0.0009017933043651283,3.0002552149817348,36.846478,1.4377252,0.00020670539,33.210914611816406,46.34793472290039,2,3,3,5
12,100,180,256,4,159,2539,649984,7149824,3355768,10296,7.342715854886,5.162847085466719,0.0030681501224160907,2.130607360222757,53.065026495757095,31.11665153503418,2.7807843685150146,0.0007732762605883181,2.890276851132513,38.360565,1.2077351,0.0001458624,33.86764144897461,45.623714447021484,2,3,3,6
13,100,192,256,4,159,2539,649984,7149824,3601560,10296,7.387997243009059,5.540997932256794,0.0028587612034784928,1.9852019680360733,49.62729152493824,31.96902847290039,2.5208587646484375,0.0006354728830046952,2.8555306589696556,40.396767,0.9553481,9.126901e-05,33.86815643310547,46.789710998535156,2,3,3,6
14,100,205,256,4,159,2539,649984,7149824,3853592,10296,7.403706087474424,5.928749015360378,0.002671792966146909,1.8553661103718297,46.10228167854202,32.14988327026367,2.4689126014709473,0.0006095529533922672,2.901088492013514,36.76925,1.450566,0.0002104142,33.764522552490234,45.49584197998047,2,3,3,6
15,101,26,256,4,159,2539,649984,7149824,449464,10296,6.808616354106705,0.6915000984639622,0.022907285121834008,15.907445312639055,93.71363546850944,17.03650665283203,14.066128730773926,0.019785599783062935,1.5682205278426409,40.183098,0.97914076,9.587167e-05,33.564029693603516,46.09297561645508,4,6,2,5
16,101,39,256,4,159,2539,649984,7149824,707224,10296,7.142161763666293,1.0880637061835368,0.014558329468456952,10.109702159428979,90.10851176196785,15.003016471862793,17.7766170501709,0.03160081431269646,1.5788779980503025,40.78062,0.91404766,8.354831e-05,33.686092376708984,46.2156867980957,4,6,2,6
17,101,52,256,4,159,2539,649984,7149824,922680,10296,6.988517587178477,1.4195426348956282,0.011158798283261802,7.74897472579876,87.09506695549429,20.78827476501465,9.132428169250488,0.008340124040842056,1.6880410672165458,41.37137,0.8539485,7.29228e-05,36.32229995727539,45.676025390625,3,5,3,5
18,101,64,256,4,159,2539,649984,7149824,1114264,10296,6.857178022843639,1.7142945057109098,0.009240180065047421,6.416633760042504,84.41550449353718,22.76558494567871,7.273118019104004,0.005289824679493904,1.577374864835292,38.989822,1.123334,0.00012618794,33.529144287109375,46.30883026123047,3,5,3,5
19,101,77,256,4,159,2539,649984,7149824,1416920,10296,7.247561418494857,2.179930582906656,0.007266465290912683,5.046032238940801,80.18244924630312,20.773784637451172,9.147674560546875,0.008367994800209999,1.5633962261490524,37.02335,1.4087453,0.00019845636,33.58646774291992,46.07109069824219,3,5,3,5
20,101,90,256,4,159,2539,649984,7149824,1682872,10296,7.364544221259464,2.58909757778653,0.006118112369805903,4.248584562581112,76.46274929284972,24.68529510498047,5.8308939933776855,0.0033999327570199966,1.5665142450015992,38.96115,1.1270478,0.00012702368,33.846923828125,45.71300506591797,3,4,3,6
