,record,m,n,d,f,w,s,u_bits,c_bits,overhead_bits,bpm,bps,overhead,cr,pms,pss,snr,prd,nmse,rtime,qc_snr,qc_prd,qc_nmse,min_qc_snr,max_qc_snr,min_q,max_q,min_rng,max_rng
0,100,244,256,4,40,2539,649984,7149824,4523544,2680,7.301738776722473,6.959469771563608,0.0005924558266704159,1.5805801822641716,5,36.732092985785386,32.74218822821234,2.306166125212364,0.0005318402197077009,8.721113903913647,37.30298713376011,1.3641139282877053,0.0001860806809348515,33.61990830955854,43.69547021047625,2,2,3,6
1,100,231,256,4,40,2539,649984,7149824,4293976,2680,7.321244857282667,6.606279539188657,0.0006241301767872014,1.6650824317602149,10,39.94291328010312,32.75957912033466,2.3015533377674355,0.0005297147766588423,2.8850786099210373,38.657400733392926,1.1671588389874012,0.00013622597554264188,33.63470142670543,42.69976484226592,2,2,3,5
2,100,218,256,4,40,2539,649984,7149824,4123640,2680,7.450090514578086,6.3442177038204015,0.000649911243464512,1.7338623158180637,15,42.32529360163271,31.902564281148717,2.540222660709975,0.0006452731165984465,2.8952806000597784,35.5463786380409,1.6698638695963341,0.0002788445342983242,33.84938841759909,41.47871145304296,2,2,3,5
3,100,205,256,4,40,2539,649984,7149824,3858200,2680,7.412559198455317,5.935838420638047,0.0006946244362656161,1.8531501736561091,20,46.037832539654126,31.732921186913238,2.5903231127323236,0.0006709773828355275,2.8117537409998477,36.45213577073957,1.5045035314043522,0.00022635308760081668,33.88912391144505,44.76100978249659,2,2,3,6
4,100,192,256,4,40,2539,649984,7149824,3623064,2680,7.432109098070106,5.5740818235525795,0.0007397053985245637,1.9734191833210786,25,49.32652887679473,32.23108789131426,2.4459389076252434,0.0005982617139834968,2.760716282296926,39.340552016898684,1.0788781537903704,0.00011639780707261184,35.28338341608825,44.25245557239571,2,2,4,5
5,100,180,256,4,40,2539,649984,7149824,3388920,2680,7.415255349875279,5.213851417881055,0.0007908124122139207,2.109764762815292,30,52.60135074653586,30.650409662705364,2.9341311148574745,0.0008609125399174766,2.850593169219792,37.25852284314203,1.3711149235830211,0.00018799561336720739,34.202180611880685,44.77620313680301,2,3,3,5
6,100,167,256,4,40,2539,649984,7149824,2994648,2680,7.062632513625761,4.6072641788105555,0.0008949298882539784,2.3875340273714976,35,58.11578019263131,30.892404651184965,2.8535124217849166,0.0008142533141280819,2.904989449772984,37.45476540787176,1.3404842931941134,0.0001796898140300122,33.7087926519055,45.22227274400457,2,3,3,4
7,100,154,256,4,40,2539,649984,7149824,2658680,2680,6.799588753113763,4.090377609294998,0.0010080190169557827,2.6892382686145004,40,62.81474900640911,29.17654910676842,3.4767426456344084,0.0012087739423972945,2.889753975905478,35.27445138968986,1.7229688687212121,0.00029686217225824527,33.3452834034513,40.02710782469801,2,3,3,4
8,100,141,256,4,40,2539,649984,7149824,2395896,2680,6.69246562141235,3.686084580543521,0.0011185794375048,2.9841963090217605,45,66.49014017687708,28.701443141043132,3.6722128243841565,0.0013485147027571462,3.0740938149392605,35.834514444117964,1.6153784236933408,0.0002609447451733983,33.399419675418756,39.773922265201904,3,3,3,5
9,100,128,256,4,40,2539,649984,7149824,2224280,2680,6.844106931862938,3.422053465931469,0.0012048842771593504,3.214444224647976,50,68.89042303698665,27.950792592471107,4.003689327661208,0.0016029528232428256,2.7590208440087736,35.71364434716838,1.6380146536842475,0.00026830920056843257,33.52763572251485,40.46964076648812,3,3,3,4
10,100,116,256,4,40,2539,649984,7149824,2005400,2680,6.808952750879385,3.0853067152422216,0.0013363917422958014,3.565285728532961,55,71.95175713416162,27.578728006987834,4.178915597133561,0.0017463335567966145,2.842965097166598,37.195537607984996,1.3810936217966954,0.00019074195921675138,33.62329681711821,42.21696200341041,3,3,3,5
11,100,103,256,4,40,2539,649984,7149824,1816536,2680,6.94614881632934,2.794739562820008,0.0014753354736707668,3.9359660364562004,60,74.5932767016363,26.57951465045804,4.688395791990009,0.002198105510234963,2.8118378082290287,38.18752738357468,1.2320366602955934,0.00015179143323123195,35.06160420248929,41.92776402340269,3,3,3,5
12,100,90,256,4,40,2539,649984,7149824,1639256,2680,7.173672924598486,2.5219943875541553,0.0016348880223711244,4.361627470022986,65,77.07277829496222,26.41249192664401,4.779422278843378,0.002284287731950443,2.887343978974968,38.90003097864123,1.1350067676091207,0.00012882403625185046,34.76910032155758,43.87719583798789,3,3,3,5
13,100,77,256,4,40,2539,649984,7149824,1351736,2680,6.914144539981484,2.079645037416306,0.001982635662585002,5.289364195375429,70,81.09413602348813,21.63225795532516,8.286804672197075,0.006867113167514726,2.921056307852268,36.410770566161474,1.5116855846669575,0.0002285193306889881,33.79043871943081,41.77126387496706,3,4,3,4
14,100,64,256,4,40,2539,649984,7149824,1025688,2680,6.312081528160693,1.5780203820401733,0.0026128803300808825,6.970759139231423,75,85.65436016327115,22.99895597594177,7.080308829616251,0.005013077312274184,2.862290628254414,39.05862295879839,1.114471205318672,0.00012420460674844537,35.130690953872225,41.47006285415172,4,4,3,4
15,100,52,256,4,40,2539,649984,7149824,873560,2680,6.616475293119641,1.3439715439149271,0.00306790603965383,8.184697101515637,80,87.78207687350066,21.286934291529814,8.622898725674863,0.00743543824332452,2.9052277971059075,40.925989394276506,0.8988775427258205,8.079808368168094e-05,34.828966894261164,43.540634426360846,4,4,3,4
